name,en_US,ja_JP,ko_KR,zh_CN
Main.error.restartAdmin,"

Faulty CATS installation found!
To fix this restart Blender as admin!
",,"

잘못 설치된 Cats Plugin이 발견되었습니다!
이 문제를 해결하려면 Blender를 관리자로 다시 시작하세요!
","发现错误的 CATS 安装！
要修复此问题，请以管理员身份重新启动 Blender！"
Main.error.deleteFollowing,"

Faulty CATS installation found!
To fix this delete the following files and folders inside your addons folder:
",,"

잘못 설치된 Cats Plugin이 발견되었습니다!
이 문제를 해결하려면 addons 폴더에서 다음 파일과 폴더를 삭제하세요.:
",发现错误的 CATS 安装！ 要解决此问题，请删除插件文件夹中的以下文件和文件夹：
Main.error.installViaPreferences,"

Faulty CATS installation found!
Please install CATS via User Preferences and restart Blender!
",,"

잘못 설치된 Cats Plugin이 발견되었습니다!
사용자 환경 설정(User Preferences)을 통해 CATS를 설치하고 블렌더를 다시 시작하세요!
","发现错误的 CATS 安装！
请通过用户偏好安装 CATS 并重新启动 Blender！"
Main.error.restartAndEnable,"

Faulty CATS installation was found and fixed!
Please restart Blender and enable CATS again!
",,"

잘못된 설치된 Cats Plugin 발견됐고 수정되었습니다!
Blender를 다시 시작하고 Cats Plugin를 다시 활성화하세요!
","发现并修复了错误的 CATS 安装！
请重新启动 Blender 并再次启用 CATS！"
Main.error.unsupportedVersion,"

Blender versions older than 2.79 are not supported by Cats.
Please use Blender 2.79 or later.
",,"

2.79 이전의 블렌더 버전은 Cats에서 지원하지 않습니다.
Blender 2.79 버전 이상을 사용하세요.
","Cats 不支持早于 2.79 的 Blender 版本。
请使用 Blender 2.79 或更高版本。"
Main.error.beta2.80,"

You are still on the beta version of Blender 2.80!
Please update to the release version of Blender 2.80.
",,"

아직 Blender 2.80 베타 버전을 사용 중입니다!
Blender를 2.80 정식 버전으로 업데이트하세요.
","您仍在使用 Blender 2.80 的测试版！
请更新到 Blender 2.80 的发布版本。"
Main.error.restartAndEnable_alt,"

Please restart Blender and enable CATS again!
",,"

Blender를 다시 시작하고 Cats Plugin를 다시 활성화하세요!
",请重新启动 Blender 并再次启用 CATS！
ToolPanel.label,Cats Blender Plugin,Cats ブレンダープラグイン,,Cats Blender 插件
ToolPanel.category,CATS,,,
ArmaturePanel.label,Model,モデル,모델,模型
ArmaturePanel.warn.newBlender1,Potentially unsupported Blender version detected!,,,检测到旧的 Blender 版本！
ArmaturePanel.warn.newBlender2,Some features might not work!,,,某些功能可能无法使用！
ArmaturePanel.warn.newBlender3,CATS currently supports up to Blender 3.2.,,,请更新到 Blender 2.79以上！
ArmaturePanel.warn.oldBlender1,Old Blender version detected!,古いブレンダーバージョンが検出されました!,이전 블렌더 버전이 발견되었습니다!,
ArmaturePanel.warn.oldBlender2,Some features might not work!,一部の機能は動作しない可能性があります!,일부 기능이 작동하지 않을 수 있습니다!,
ArmaturePanel.warn.oldBlender3,Please update to Blender 2.79!,ブレンダー2.79以上にアップデートしてください!,블렌더 2.79 버전으로 업데이트하세요!,
ArmaturePanel.warn.noDict1,Dictionary not found!,辞書が見つかりません!,사전파일(Dictionary)을 찾을 수 없습니다!,找不到翻译！
ArmaturePanel.warn.noDict2,"Translations will work, but are not optimized.",翻訳は機能しますが、最適化されません。,번역은 되지만 최적화되지는 않습니다.,翻译可以工作，但没有优化。
ArmaturePanel.warn.noDict3,Reinstall Cats to fix this.,これを修正するためにCatsを再インストールします。,이 문제를 해결하려면 Cats를 다시 설치하세요.,重新安装 Cats 以解决此问题。
ArmaturePanel.ImportAnyModel.label,Import Model,モデルのインポート,모델 불러오기,导入模型
ModelSettings.label,Fix Model Settings,モデル設定の修正,모델 고치기 설정,修复模型设置
ModelSettings.warn.fbtFix1,The Full Body Tracking Fix,フル ボディトラッキングの修正,풀바디 트래킹 수정,全身追踪修复
ModelSettings.warn.fbtFix2,is no longer needed for VRChat.,もはやVrChatのために必要とされていません。,VRChat에 더 이상 필요하지 않음.,VRChat 不再需要。
ModelSettings.warn.fbtFix3,It's still available in Model Options.,モデル オプションで引き続き使用できます。.,이것은 모델옵션에서 여전히 이용가능.,它仍然在模型选项中可用。
ManualPanel.label,Model Options,モデル オプション,모델 옵션,模型选项
ManualPanel.separateBy,Separate by:,別に:,메쉬 분리:,分开：
ManualPanel.SeparateByMaterials.label,Materials,材料,매테리얼별로,材质
ManualPanel.SeparateByLooseParts.label,Loose Parts,緩い部品,느슨한 부분별로,散件
ManualPanel.SeparateByShapekeys.label,Shapes,図形,쉐이프별로,形状
ManualPanel.joinMeshes,Join Meshes:,メッシュに参加する:,메쉬 통합:,加入网格：
ManualPanel.JoinMeshes.label,All,すべて,모두,全部
ManualPanel.JoinMeshesSelected.label,Selected,選択,선택된 메쉬들,已选中
ManualPanel.mergeWeights,Merge Weights:,ウェイトをマージする:,웨이트 통합:,合并权重：
ManualPanel.MergeWeights.label,To Parents,親へ,부모 본으로,给父级
ManualPanel.MergeWeightsToActive.label,To Active,アクティブに,활성화된 본으로,到活动
ManualPanel.translate,Translate:,翻訳する:,일본어를 영어로 번역:,翻译：
ManualPanel.TranslateAllButton.label,All,すべて,모두,全部
ManualPanel.TranslateShapekeyButton.label,Shape Keys,シェイプキー,쉐이프키,形态键
ManualPanel.TranslateObjectsButton.label,Objects,オブジェクト,오브젝트,对象
ManualPanel.TranslateBonesButton.label,Bones,骨,본,骨头
ManualPanel.TranslateMaterialsButton.label,Materials,材料,매테리얼,材质
ManualPanel.delete,Delete:,削除:,제거:,删除：
ManualPanel.RemoveZeroWeightBones.label,Zero Weight Bones,ゼロウェイト ボーン,제로 웨이트 본,零权重骨头
ManualPanel.RemoveConstraints,Constraints,制約,컨스트레이트,约束
ManualPanel.RemoveZeroWeightGroups,Zero Weight Vertex Groups,ゼロウェイト頂点グループ,제로 웨이트 버텍스 그룹,零权重顶点组
ManualPanel.normals,Normals:,法線:,노말:,法线：
ManualPanel.RecalculateNormals.label,Recalculate,再計算,재계산,重新计算
ManualPanel.FlipNormals.label,Flip,フリップ,뒤집기,翻动
ManualPanel.fbtFix,Full Body Tracking Fix:,フル ボディ トラッキングの修正:,풀바디 트래킹 수정:,全身追踪修复：
ManualPanel.FixFBTButton.label,Add,追加,추가,追加
ManualPanel.RemoveFBTButton.label,Remove,削除,제거,消除
CustomPanel.label,Custom Model Creation,カスタム モデルの作成,커스텀 모델 제작,自定义模型创建
CustomPanel.mergeArmatures,Merge Armatures:,マージアーマチュア:,뼈대(Armature) 통합:,合并骨架：
CustomPanel.warn.twoArmatures,Two armatures are required!,2つのアーマチュアが必要です!,두개의 뼈대(Armature)가 필요합니다!,需要两个骨架！
CustomPanel.mergeInto,Base,ベース,베이스로,基础
CustomPanel.toMerge,To Merge,マージするには,통합할 부분,合并
CustomPanel.attachToBone,Attach to,添付する,붙이기,附加到
CustomPanel.armaturesCanMerge,Armatures can be merged automatically!,アーマチュアは自動的にマージすることができます!,뼈대(Armature)들은 자동으로 통합됩니다!,骨架可以自动合并！
CustomPanel.attachMesh1,Attach Mesh to Armature:,アーマチュアにメッシュをアタッチ:,메쉬를 뼈대(Armature)에 붙이기:,将网格连接到骨架：
CustomPanel.attachMesh2,Mesh,メッシュ,메쉬,网格
CustomPanel.warn.noArmOrMesh1,An armature and a mesh are required!,アーマチュアとメッシュが必要です!,뼈대(Armature)와 메쉬가 필요합니다!,需要骨架和网格！
CustomPanel.warn.noArmOrMesh2,Make sure that the mesh has no parent.,メッシュに親が存在しないか確認します。,메쉬에 부모가 없어야 합니다.,确保网格没有父级。
DecimationPanel.label,Decimation,デシメーション,버텍스 줄이기(Decimation),精简
DecimationPanel.decimationMode,Decimation Mode:,デシメーションモード:,데시메이션 모드:,精简模式：
DecimationPanel.safeModeDesc, Decent results - No shape key loss, まともな結果 - シェイプキーの損失はありません, 괜찮은 결과 - 쉐이프키 손실 없음,体面的结果 - 没有形态键丢失
DecimationPanel.halfModeDesc, Good results - Minimal shape key loss, 良好な結果 - 最小のシェープキー損失," 나쁘지 않은 결과, - 최소한의 쉐이프키 손실됨",良好的结果 - 最小的形态键损失
DecimationPanel.fullModeDesc, Consistent results - Full shape key loss, 一貫した結果 - フルシェイプキー損失, 일관된 결과 - 모든 쉐이프키들이 손실됨,一致的结果 - 全形态键丢失
DecimationPanel.smartModeDesc, Best results - Preserve shape keys, 最良の結果 - 形状キーの保存, 최고의 결과 - 쉐이프키들이 보존됨,最佳结果 - 保留形态键
DecimationPanel.customSeparateMaterials,Start by Separating by Materials:,材料別に分離して開始:,매테리얼별로 분리하는 것으로 시작:,从按材质分离开始：
DecimationPanel.SeparateByMaterials.label,Separate by Materials,材料別に分離,매테리얼별로 분리,按材质分开
DecimationPanel.customJoinMeshes,Stop by Joining Meshes:,メッシュに参加して停止:,메쉬를 통합하여 중지:,通过加入网格停止：
DecimationPanel.customWhitelist,Whitelisted:,ホワイトリストに登録:,화이트리스트:,列入白名单：
DecimationPanel.warn.noShapekeySelected,No shape key selected,シェイプ キーが選択されていません,선택된 쉐이프키 없음,未选择形态键
DecimationPanel.warn.noDecimation,Every mesh is selected. This equals no Decimation.,すべてのメッシュが選択されます。これはデシメーションなしに等しい.,모든 메쉬가 선택됨. 데시메이션이 적용되지 않습니다.,每个网格都被选中。 这等于没有精简。
DecimationPanel.warn.noMeshSelected,No mesh selected,メッシュが選択されていません,선택된 메쉬가 없음,未选择网格
DecimationPanel.warn.emptyList,"Both lists are empty, this equals Full Decimation!",両方のリストが空で、これは完全なデシメーションに等しい!,양쪽 리스트들이 비어있어 전체 메쉬의 버텍스를 줄이는 것과 같습니다!,两个列表都是空的，这等于完全精简！
DecimationPanel.warn.correctWhitelist,Both whitelists are considered during decimation,両方のホワイトリストはデシメーション中に考慮されます,양쪽 화이트리스트들은 데시메이션 중에 고려됩니다.,在精简期间考虑两个白名单
DecimationPanel.preset.excellent.label,Excellent,優れた,,优秀
DecimationPanel.preset.excellent.description,The maximum number of tris you can have for an Excellent rating.,優れた評価を得るために持つことができるトリスの最大数,당신의 아바타가 Excellent 등급을 받을 수 있는 최대 삼각폴리곤(Tris) 개수입니다.,获得优秀评级的最大面数。
DecimationPanel.preset.good.label,Good,良い,,良好
DecimationPanel.preset.good.description,The maximum number of tris you can have for a Good rating.,あなたが良い評価のために持つことができるトリスの最大数,당신의 아바타가 Good 등급을 받을 수 있는 최대 삼각폴리곤(Tris) 개수입니다.,获得良好评级的最大面数。
DecimationPanel.preset.quest.label,Quest,,,快速
DecimationPanel.preset.quest.description,"The recommended number of tris for Quest avatars.
A hard limit will be established in the future that will not be much more than this.","Questアバターの推奨トリス数.
将来的には、これをはるかに超えることのない厳しい制限が設定されます。","퀘스트용 아바타들을 위해 권장되는 삼각폴리곤(Tris)의 개수입니다.
앞으로는 이보다 심하지는 않을 엄격한 제한이 설정될 것입니다.","Quest 头像的推荐面数量。
未来将建立一个硬性限制，不会超过这个。"
DecimationPanel.warn.notIfBaking,Not reccomended if baking!,,베이킹 할 시 권장되지 않습니다!,如果是烘焙，不建议使用！
EyeTrackingPanel.label,Eye Tracking,アイトラッキング,눈 추적(Eye Tracking),眼睛追踪
EyeTrackingPanel.error.noMesh,No meshes found!,メッシュが見つかりません!,메쉬가 발견되지 않음!,未找到网格！
EyeTrackingPanel.error.noArm,No model found!,モデルが見つかりません!,모델이 발견되지 않음!,找不到型号！
EyeTrackingPanel.error.wrongNameArm1,Your armature has to be named 'Armature',アイトラッキングが機能するには,뼈대는 반드시 'Armature'로 이름을 지어야 합니다.,"您的骨架必须命名为""Armature"""
EyeTrackingPanel.error.wrongNameArm2,      for Eye Tracking to work!,      アーマチュアに'Armature'という名前を付ける必要があります。,      눈 추적(Eye Tracking)이 작동하기 위해!,眼睛追踪工作！
EyeTrackingPanel.error.wrongNameArm3,      (currently ',      (現在は ',      (현재로서는 ',（目前 '
EyeTrackingPanel.error.wrongNameBody1,The mesh containing the eyes has to be,アイトラッキングが機能するには,눈들을 포함한 메쉬는 반드시,包含眼睛的网格必须是
EyeTrackingPanel.error.wrongNameBody2,      named 'Body' for Eye Tracking to work!,      目を含むメッシュに'Body'という名前を付ける必要があります!,      눈 추적(Eye Tracking)을 위해 'Body'로 이름을 지어야 합니다.,"为眼睛追踪工作命名为""身体""！"
EyeTrackingPanel.error.wrongNameBody3,      (currently ',      (現在は ',      (현재로서는 ',（目前 '
EyeTrackingPanel.warn.assignEyes1,Don't forget to assign 'LeftEye' and 'RightEye','左目'と'右目' を割り当てることを忘れないでください。,유니티에서 'LeftEye'와 'RightEye'를,"不要忘记分配""LeftEye""和""RightEye"""
EyeTrackingPanel.warn.assignEyes2,      to the eyes in Unity!,      ユニティの目に,      적용하는 것을 잊지 마세요!,在 Unity 中的眼睛！
VisemePanel.label,Visemes,バイセム,립싱크(Visemes),发音嘴型
VisemePanel.error.noMesh,No meshes found!,メッシュが見つかりません!,메쉬가 발견되지 않음!,未找到网格！
BoneRootPanel.label,Bone Parenting,ボーンの子育て,본 부모설정,骨骼父子级关系
OptimizePanel.label,Optimization,最適化,최적화,优化
OptimizePanel.atlasDesc,A greatly improved Atlas Generator.,アトラスジェネレータを大幅に改良。,텍스처들을 결합시켜주는 더욱 향상된 아틀라스 생성기입니다.,大大改进的 Atlas 生成器。
OptimizePanel.atlasAuthor,Made by Shotariya,shotaryiaによって作られた,제작자: Shotariya,由Shotariya制作
OptimizePanel.matCombDisabled1,Material Combiner is not enabled!,マテリアル コンバイナーが有効になっていません!,매테리얼 통합기가 활성화되지 않았습니다!,材质组合器未启用！
OptimizePanel.matCombDisabled2,Enable it in your user preferences:,ユーザー設定で有効にする:,User preferences에서 이것을 활성화하세요:,在您的用户首选项中启用它：
OptimizePanel.matCombOutdated1,Your Material Combiner is outdated!,マテリアル コンバイナーが古い!,당신의 매테리얼 통합기의 버전이 낮습니다!,您的Material Combiner已过时！
OptimizePanel.matCombOutdated2,Please update to the latest version.,最新バージョンにアップデートしてください.,최신버전으로 업데이트하세요.,请更新到最新版本。
OptimizePanel.matCombOutdated3,Update via the 'Updates' panel,'更新' パネルを使用して更新します。,'Updates' 패널에서 업데이트하세요.,"通过""更新""面板更新"
OptimizePanel.matCombOutdated4,in the 'MatCombiner' tab to the {location},'MatCombiner' タブの {location},'MatCombiner' 탭의 {location},"在""MatCombiner""标签中到 {location}"
OptimizePanel.matCombOutdated5_2.79,left.,左側にあります。。,왼쪽에 있습니다.,左边。
OptimizePanel.matCombOutdated5_2.8,right.,右側にあります。。,오른쪽에 있습니다.,正确的。
OptimizePanel.matCombOutdated6,Or download and install it manually:,または手動でダウンロードしてインストールする:,혹은 직접 다운로드와 설치하기:,或者手动下载安装：
OptimizePanel.matCombOutdated6_alt,Download and install it manually:,手動でダウンロードしてインストールする:,직접 다운로드와 설치하기:,手动下载并安装：
OptimizePanel.matCombNotInstalled,Material Combiner is not installed!,マテリアル コンバイナーがインストールされていません!,매테리얼 통합기가 설치되지 않았습니다!,Material Combiner未安装！
CopyProtectionPanel.label,Copy Protection,コピープロテクション,복사핵 방지,复制保护
